question_id,option_id,option_label,weighted_share,weighted_percent,weighted_n,unweighted_n,is_missing,source_url
2025-172_soc_pol_1,1,Daily,0.24857879205714414,24.86,248.5787920571449,254,false,https://reports.verasight.io/reports/verasight-human-llm-comparison-survey-2025-172#how-often-do-you-intentionally-unplug-from-all-digital-devices-phone-tv-computer-for-at-least-one-hour-to-improve-your-wellbeing
2025-172_soc_pol_1,2,A few time per week,0.21083680141098868,21.08,210.83680141098932,212,false,https://reports.verasight.io/reports/verasight-human-llm-comparison-survey-2025-172#how-often-do-you-intentionally-unplug-from-all-digital-devices-phone-tv-computer-for-at-least-one-hour-to-improve-your-wellbeing
2025-172_soc_pol_1,3,A few times per month,0.10690778891922295,10.69,106.90778891922328,101,false,https://reports.verasight.io/reports/verasight-human-llm-comparison-survey-2025-172#how-often-do-you-intentionally-unplug-from-all-digital-devices-phone-tv-computer-for-at-least-one-hour-to-improve-your-wellbeing
2025-172_soc_pol_1,4,Rarely,0.26498981708774577,26.5,264.9898170877466,265,false,https://reports.verasight.io/reports/verasight-human-llm-comparison-survey-2025-172#how-often-do-you-intentionally-unplug-from-all-digital-devices-phone-tv-computer-for-at-least-one-hour-to-improve-your-wellbeing
2025-172_soc_pol_1,5,Never,0.1637863504710828,16.38,163.78635047108332,164,false,https://reports.verasight.io/reports/verasight-human-llm-comparison-survey-2025-172#how-often-do-you-intentionally-unplug-from-all-digital-devices-phone-tv-computer-for-at-least-one-hour-to-improve-your-wellbeing
2025-172_soc_pol_1,7,I would rather not say,0.004900450053815548,0.49,4.900450053815563,4,false,https://reports.verasight.io/reports/verasight-human-llm-comparison-survey-2025-172#how-often-do-you-intentionally-unplug-from-all-digital-devices-phone-tv-computer-for-at-least-one-hour-to-improve-your-wellbeing
2025-172_soc_pol_10,1,People fleeing violence and poverty who seek asylum in the United States are searching for a better life. We should welc,0.511842754635852,51.18,511.8427546358536,498,false,https://reports.verasight.io/reports/verasight-human-llm-comparison-survey-2025-172#which-of-the-following-statements-is-closer-to-your-opinion
2025-172_soc_pol_10,2,Every immigrant who crosses the border illegally is a criminal and should be deported. We cannot have a country if we do,0.3511770581805166,35.12,351.1770581805177,369,false,https://reports.verasight.io/reports/verasight-human-llm-comparison-survey-2025-172#which-of-the-following-statements-is-closer-to-your-opinion
2025-172_soc_pol_10,3,Not sure,0.1369801871836312,13.7,136.9801871836316,133,false,https://reports.verasight.io/reports/verasight-human-llm-comparison-survey-2025-172#which-of-the-following-statements-is-closer-to-your-opinion
2025-172_soc_pol_11,1,I am not planning to retire to Florida,0.47977008484539657,47.98,479.77008484539806,500,false,https://reports.verasight.io/reports/verasight-human-llm-comparison-survey-2025-172#if-interested-in-retiring-in-florida-when-would-you-be-looking-to-move
2025-172_soc_pol_11,2,Within the next 3 months,0.023270524531160432,2.33,23.270524531160504,23,false,https://reports.verasight.io/reports/verasight-human-llm-comparison-survey-2025-172#if-interested-in-retiring-in-florida-when-would-you-be-looking-to-move
2025-172_soc_pol_11,3,Within 3-6 months,0.01863880089447562,1.86,18.638800894475676,17,false,https://reports.verasight.io/reports/verasight-human-llm-comparison-survey-2025-172#if-interested-in-retiring-in-florida-when-would-you-be-looking-to-move
