question_id,option_id,option_label,is_missing
2025-172_soc_pol_1,1,Daily,false
2025-172_soc_pol_1,2,A few time per week,false
2025-172_soc_pol_1,3,A few times per month,false
2025-172_soc_pol_1,4,Rarely,false
2025-172_soc_pol_1,5,Never,false
2025-172_soc_pol_1,7,I would rather not say,false
2025-172_soc_pol_10,1,People fleeing violence and poverty who seek asylum in the United States are searching for a better life. We should welc,false
2025-172_soc_pol_10,2,Every immigrant who crosses the border illegally is a criminal and should be deported. We cannot have a country if we do,false
2025-172_soc_pol_10,3,Not sure,false
2025-172_soc_pol_11,1,I am not planning to retire to Florida,false
2025-172_soc_pol_11,2,Within the next 3 months,false
2025-172_soc_pol_11,3,Within 3-6 months,false
2025-172_soc_pol_11,4,6-12 months,false
2025-172_soc_pol_11,5,A year or later,false
2025-172_soc_pol_11,6,"No timeline, just researching options",false
2025-172_soc_pol_11,7,I am not planning to retire or am unable to retire at this time,false
2025-172_soc_pol_12,1,Much more affected,false
2025-172_soc_pol_12,2,More affected,false
2025-172_soc_pol_12,3,About the same,false
2025-172_soc_pol_12,4,Less affected,false
2025-172_soc_pol_12,5,Much less affected,false
2025-172_soc_pol_13,1,Joy,false
2025-172_soc_pol_13,2,Gratitude,false
2025-172_soc_pol_13,3,Nostalgia,false
2025-172_soc_pol_13,4,Hope,false
2025-172_soc_pol_13,5,Loneliness,false
2025-172_soc_pol_13,6,Stress,false
2025-172_soc_pol_13,7,Other (please specify):,false
2025-172_soc_pol_14,1,0 - none,false
2025-172_soc_pol_14,2,1-4,false
2025-172_soc_pol_14,3,5-9,false
2025-172_soc_pol_14,4,10-14,false
2025-172_soc_pol_14,5,15-19,false
2025-172_soc_pol_14,6,20 or more,false
2025-172_soc_pol_15,1,1 - Definitely Would Not Visit,false
2025-172_soc_pol_15,2,2,false
2025-172_soc_pol_15,3,3,false
2025-172_soc_pol_15,4,4,false
2025-172_soc_pol_15,5,5,false
2025-172_soc_pol_15,6,6,false
2025-172_soc_pol_15,7,7 - Definitely Would Visit,false
2025-172_soc_pol_16,1,Extremely important – Farming is essential for society's well-being,false
2025-172_soc_pol_16,2,Very important – Farming plays a major role in providing food and resources,false
2025-172_soc_pol_16,3,"Moderately important – Farming contributes, but other sectors are equally critical",false
2025-172_soc_pol_16,4,Slightly important – Farming has a limited impact on society,false
2025-172_soc_pol_16,5,Not important at all – Farming’s role is minimal in today’s world,false
2025-172_soc_pol_17,1,Yes,false
2025-172_soc_pol_17,2,No,false
2025-172_soc_pol_18,1,Very positive,false
2025-172_soc_pol_18,2,Somewhat positive,false
2025-172_soc_pol_18,3,Neutral,false
2025-172_soc_pol_18,4,Somewhat negative,false
2025-172_soc_pol_18,5,Very negative,false
2025-172_soc_pol_18,6,I’m not familiar enough to say,false
2025-172_soc_pol_19,1,Strongly support,false
2025-172_soc_pol_19,2,Somewhat support,false
2025-172_soc_pol_19,3,Neither support nor oppose,false
2025-172_soc_pol_19,4,Somewhat oppose,false
2025-172_soc_pol_19,5,Strongly oppose,false
2025-172_soc_pol_19,6,Don’t know,false
2025-172_soc_pol_2,1,Extremely important,false
2025-172_soc_pol_2,2,Somewhat important,false
2025-172_soc_pol_2,3,Not important or unimportant,false
2025-172_soc_pol_2,4,Somewhat unimportant,false
2025-172_soc_pol_2,5,Very unimportant,false
2025-172_soc_pol_20,1,Become more right-wing,false
2025-172_soc_pol_20,2,"Only changed what they talk about, not policy",false
2025-172_soc_pol_20,3,Something in between,false
2025-172_soc_pol_20,4,None of the above,false
2025-172_soc_pol_21,1,Amazon (for ordering / delivering groceries),false
2025-172_soc_pol_21,2,Walmart Grocery (for pick up / delivery),false
2025-172_soc_pol_21,3,Uber Eats (for ordering / delivering groceries),false
2025-172_soc_pol_21,4,DoorDash (for ordering / delivering groceries),false
2025-172_soc_pol_21,5,Instacart (for ordering / delivering groceries),false
2025-172_soc_pol_21,6,None of the above,false
2025-172_soc_pol_22,1,The Northeast (New England and Mid-Atlantic),false
2025-172_soc_pol_22,2,The Midwest,false
2025-172_soc_pol_22,3,The South,false
2025-172_soc_pol_22,4,The West (Mountain and Pacific),false
2025-172_soc_pol_22,5,All of the above,false
2025-172_soc_pol_22,6,None of the above,false
2025-172_soc_pol_22,7,Don't know/unsure,false
2025-172_soc_pol_23,1,Very uncomfortable,false
2025-172_soc_pol_23,2,Somewhat uncomfortable,false
2025-172_soc_pol_23,3,Neither comfortable nor uncomfortable,false
2025-172_soc_pol_23,4,Somewhat comfortable,false
2025-172_soc_pol_23,5,Very comfortable,false
2025-172_soc_pol_23,6,Not sure,false
2025-172_soc_pol_24,1,Strongly disagree,false
2025-172_soc_pol_24,2,Disagree,false
2025-172_soc_pol_24,3,Neither agree nor disagree,false
2025-172_soc_pol_24,4,Agree,false
2025-172_soc_pol_24,5,Strongly agree,false
2025-172_soc_pol_24,6,Not sure,false
2025-172_soc_pol_25,1,Strongly disagree,false
2025-172_soc_pol_25,2,Disagree,false
2025-172_soc_pol_25,3,Slightly disagree,false
2025-172_soc_pol_25,4,Neither agree nor disagree,false
2025-172_soc_pol_25,5,Slightly agree,false
2025-172_soc_pol_25,6,Agree,false
2025-172_soc_pol_25,7,Strongly agree,false
2025-172_soc_pol_26,1,They bring a fresh perspective,false
2025-172_soc_pol_26,2,They are not part of the political establishment,false
2025-172_soc_pol_26,3,They seem authentic and relatable,false
2025-172_soc_pol_26,4,They align with my beliefs,false
2025-172_soc_pol_26,5,"They have had successful professional careers (e.g., business)",false
2025-172_soc_pol_26,6,They seek to challenge the status quo,false
2025-172_soc_pol_26,7,They have a strong personal appeal or leadership presence,false
2025-172_soc_pol_26,8,None of the reasons above would make me more likely to vote for a candidate,false
2025-172_soc_pol_27,1,"Yes, I am currently pursuing further education/professional learning",false
2025-172_soc_pol_27,2,"Yes, within the next 3 months",false
2025-172_soc_pol_27,3,"Yes, within the next 6 months",false
2025-172_soc_pol_27,4,"Yes, within the next 12 months",false
2025-172_soc_pol_27,5,"Yes, but not within the next 12 months",false
2025-172_soc_pol_27,6,Not sure,false
2025-172_soc_pol_27,7,No,false
2025-172_soc_pol_28,1,Never. Keep the machine running for as long as possible.,false
2025-172_soc_pol_28,2,When 2 doctors agree that I no longer have any chance of ever getting off the machine alive.,false
2025-172_soc_pol_28,3,When I am more likely to die than not.,false
2025-172_soc_pol_28,4,When I am likely to survive but be permanently disabled.,false
2025-172_soc_pol_29,1,Strongly agree,false
2025-172_soc_pol_29,2,Agree,false
2025-172_soc_pol_29,3,Neutral,false
